dataset	package	graph_path	method	method_label	rank	score	etype	src	dst	suggested_level	suggested_rationale	evidence_level	annotator_note
qut	cutomtkinter-1.0.0.tar.gz	artifacts/qut_all/cutomtkinter-1.0.0.tar.gz.graph.pt	raw_explainer	Raw explainer	1	-5.7965674e-17	PROC|CONNECT|NET	PROC:qut::cutomtkinter-1.0.0.tar.gz::proc::install	NET:port::443	IOC	Network destination can be pivoted as an indicator.	contextual	Port-only network pivot lacks destination identity.
qut	cutomtkinter-1.0.0.tar.gz	artifacts/qut_all/cutomtkinter-1.0.0.tar.gz.graph.pt	raw_explainer	Raw explainer	2	-5.7965674e-17	PROC|CONNECT|NET	PROC:qut::cutomtkinter-1.0.0.tar.gz::proc::install	NET:port::443	IOC	Network destination can be pivoted as an indicator.	contextual	Port-only network pivot lacks destination identity.
qut	cutomtkinter-1.0.0.tar.gz	artifacts/qut_all/cutomtkinter-1.0.0.tar.gz.graph.pt	raw_explainer	Raw explainer	3	-5.7965674e-17	PROC|CONNECT|NET	PROC:qut::cutomtkinter-1.0.0.tar.gz::proc::install	NET:port::443	IOC	Network destination can be pivoted as an indicator.	contextual	Port-only network pivot lacks destination identity.
qut	cutomtkinter-1.0.0.tar.gz	artifacts/qut_all/cutomtkinter-1.0.0.tar.gz.graph.pt	raw_explainer	Raw explainer	4	-3.344523e-13	PROC|WRITE|FILE	PROC:qut::cutomtkinter-1.0.0.tar.gz::proc::install	FILE:qut::cutomtkinter-1.0.0.tar.gz::bucket::ALL_FILES	contextual	File artifact is supporting context.	contextual	Coarse file bucket provides behavior context only.
qut	cutomtkinter-1.0.0.tar.gz	artifacts/qut_all/cutomtkinter-1.0.0.tar.gz.graph.pt	raw_explainer	Raw explainer	5	-7.3135443e-13	PROC|READ|FILE	PROC:qut::cutomtkinter-1.0.0.tar.gz::proc::install	FILE:qut::cutomtkinter-1.0.0.tar.gz::bucket::ALL_FILES	contextual	File artifact is supporting context.	contextual	Coarse file bucket provides behavior context only.
qut	cutomtkinter-1.0.0.tar.gz	artifacts/qut_all/cutomtkinter-1.0.0.tar.gz.graph.pt	filtering	Filtering	1	-5.7965674e-17	PROC|CONNECT|NET	PROC:qut::cutomtkinter-1.0.0.tar.gz::proc::install	NET:port::443	IOC	Network destination can be pivoted as an indicator.	contextual	Port-only network pivot lacks destination identity.
qut	cutomtkinter-1.0.0.tar.gz	artifacts/qut_all/cutomtkinter-1.0.0.tar.gz.graph.pt	filtering	Filtering	2	-3.344523e-13	PROC|WRITE|FILE	PROC:qut::cutomtkinter-1.0.0.tar.gz::proc::install	FILE:qut::cutomtkinter-1.0.0.tar.gz::bucket::ALL_FILES	contextual	File artifact is supporting context.	contextual	Coarse file bucket provides behavior context only.
qut	cutomtkinter-1.0.0.tar.gz	artifacts/qut_all/cutomtkinter-1.0.0.tar.gz.graph.pt	filtering	Filtering	3	-7.3135443e-13	PROC|READ|FILE	PROC:qut::cutomtkinter-1.0.0.tar.gz::proc::install	FILE:qut::cutomtkinter-1.0.0.tar.gz::bucket::ALL_FILES	contextual	File artifact is supporting context.	contextual	Coarse file bucket provides behavior context only.
qut	cutomtkinter-1.0.0.tar.gz	artifacts/qut_all/cutomtkinter-1.0.0.tar.gz.graph.pt	filtering	Filtering	4	-1.8000183e-12	PROC|WRITE|FILE	PROC:qut::cutomtkinter-1.0.0.tar.gz::proc::install	FILE:qut::cutomtkinter-1.0.0.tar.gz::bucket::TMP_DIR	contextual	File artifact is supporting context.	contextual	Coarse temp-directory bucket indicates file activity but lacks path detail.
qut	cutomtkinter-1.0.0.tar.gz	artifacts/qut_all/cutomtkinter-1.0.0.tar.gz.graph.pt	filtering	Filtering	5	-1.8000183e-12	PROC|WRITE|FILE	PROC:qut::cutomtkinter-1.0.0.tar.gz::proc::install	FILE:qut::cutomtkinter-1.0.0.tar.gz::bucket::OTHER_DIR	contextual	File artifact is supporting context.	contextual	Coarse file bucket provides behavior context only.
qut	cutomtkinter-1.0.0.tar.gz	artifacts/qut_all/cutomtkinter-1.0.0.tar.gz.graph.pt	filtering_rarity	Filtering + rarity	1	4.3900863	PROC|WRITE|FILE	PROC:qut::cutomtkinter-1.0.0.tar.gz::proc::install	FILE:qut::cutomtkinter-1.0.0.tar.gz::bucket::ALL_FILES	contextual	File artifact is supporting context.	contextual	Coarse file bucket provides behavior context only.
qut	cutomtkinter-1.0.0.tar.gz	artifacts/qut_all/cutomtkinter-1.0.0.tar.gz.graph.pt	filtering_rarity	Filtering + rarity	2	4.3900863	PROC|READ|FILE	PROC:qut::cutomtkinter-1.0.0.tar.gz::proc::install	FILE:qut::cutomtkinter-1.0.0.tar.gz::bucket::ALL_FILES	contextual	File artifact is supporting context.	contextual	Coarse file bucket provides behavior context only.
qut	cutomtkinter-1.0.0.tar.gz	artifacts/qut_all/cutomtkinter-1.0.0.tar.gz.graph.pt	filtering_rarity	Filtering + rarity	3	4.3900863	PROC|WRITE|FILE	PROC:qut::cutomtkinter-1.0.0.tar.gz::proc::install	FILE:qut::cutomtkinter-1.0.0.tar.gz::bucket::TMP_DIR	contextual	File artifact is supporting context.	contextual	Coarse temp-directory bucket indicates file activity but lacks path detail.
qut	cutomtkinter-1.0.0.tar.gz	artifacts/qut_all/cutomtkinter-1.0.0.tar.gz.graph.pt	filtering_rarity	Filtering + rarity	4	4.3900863	PROC|WRITE|FILE	PROC:qut::cutomtkinter-1.0.0.tar.gz::proc::install	FILE:qut::cutomtkinter-1.0.0.tar.gz::bucket::OTHER_DIR	contextual	File artifact is supporting context.	contextual	Coarse file bucket provides behavior context only.
qut	cutomtkinter-1.0.0.tar.gz	artifacts/qut_all/cutomtkinter-1.0.0.tar.gz.graph.pt	filtering_rarity	Filtering + rarity	5	4.3900863	PROC|WRITE|FILE	PROC:qut::cutomtkinter-1.0.0.tar.gz::proc::install	FILE:qut::cutomtkinter-1.0.0.tar.gz::bucket::ETC_DIR	contextual	File artifact is supporting context.	contextual	Coarse file bucket provides behavior context only.
qut	dicord-py-0.1.tar.gz	artifacts/qut_all/dicord-py-0.1.tar.gz.graph.pt	raw_explainer	Raw explainer	1	-5.7965674e-17	PROC|CONNECT|NET	PROC:qut::dicord-py-0.1.tar.gz::proc::install	NET:port::443	IOC	Network destination can be pivoted as an indicator.	contextual	Port-only network pivot lacks destination identity.
qut	dicord-py-0.1.tar.gz	artifacts/qut_all/dicord-py-0.1.tar.gz.graph.pt	raw_explainer	Raw explainer	2	-5.7965674e-17	PROC|CONNECT|NET	PROC:qut::dicord-py-0.1.tar.gz::proc::install	NET:port::443	IOC	Network destination can be pivoted as an indicator.	contextual	Port-only network pivot lacks destination identity.
qut	dicord-py-0.1.tar.gz	artifacts/qut_all/dicord-py-0.1.tar.gz.graph.pt	raw_explainer	Raw explainer	3	-5.7965674e-17	PROC|CONNECT|NET	PROC:qut::dicord-py-0.1.tar.gz::proc::install	NET:port::443	IOC	Network destination can be pivoted as an indicator.	contextual	Port-only network pivot lacks destination identity.
qut	dicord-py-0.1.tar.gz	artifacts/qut_all/dicord-py-0.1.tar.gz.graph.pt	raw_explainer	Raw explainer	4	-3.344523e-13	PROC|WRITE|FILE	PROC:qut::dicord-py-0.1.tar.gz::proc::install	FILE:qut::dicord-py-0.1.tar.gz::bucket::ALL_FILES	contextual	File artifact is supporting context.	contextual	Coarse file bucket provides behavior context only.
qut	dicord-py-0.1.tar.gz	artifacts/qut_all/dicord-py-0.1.tar.gz.graph.pt	raw_explainer	Raw explainer	5	-7.3135443e-13	PROC|READ|FILE	PROC:qut::dicord-py-0.1.tar.gz::proc::install	FILE:qut::dicord-py-0.1.tar.gz::bucket::ALL_FILES	contextual	File artifact is supporting context.	contextual	Coarse file bucket provides behavior context only.
qut	dicord-py-0.1.tar.gz	artifacts/qut_all/dicord-py-0.1.tar.gz.graph.pt	filtering	Filtering	1	-5.7965674e-17	PROC|CONNECT|NET	PROC:qut::dicord-py-0.1.tar.gz::proc::install	NET:port::443	IOC	Network destination can be pivoted as an indicator.	contextual	Port-only network pivot lacks destination identity.
qut	dicord-py-0.1.tar.gz	artifacts/qut_all/dicord-py-0.1.tar.gz.graph.pt	filtering	Filtering	2	-3.344523e-13	PROC|WRITE|FILE	PROC:qut::dicord-py-0.1.tar.gz::proc::install	FILE:qut::dicord-py-0.1.tar.gz::bucket::ALL_FILES	contextual	File artifact is supporting context.	contextual	Coarse file bucket provides behavior context only.
qut	dicord-py-0.1.tar.gz	artifacts/qut_all/dicord-py-0.1.tar.gz.graph.pt	filtering	Filtering	3	-7.3135443e-13	PROC|READ|FILE	PROC:qut::dicord-py-0.1.tar.gz::proc::install	FILE:qut::dicord-py-0.1.tar.gz::bucket::ALL_FILES	contextual	File artifact is supporting context.	contextual	Coarse file bucket provides behavior context only.
qut	dicord-py-0.1.tar.gz	artifacts/qut_all/dicord-py-0.1.tar.gz.graph.pt	filtering	Filtering	4	-1.8000183e-12	PROC|WRITE|FILE	PROC:qut::dicord-py-0.1.tar.gz::proc::install	FILE:qut::dicord-py-0.1.tar.gz::bucket::ROOT_DIR	contextual	File artifact is supporting context.	contextual	Coarse file bucket provides behavior context only.
qut	dicord-py-0.1.tar.gz	artifacts/qut_all/dicord-py-0.1.tar.gz.graph.pt	filtering	Filtering	5	-1.8000183e-12	PROC|WRITE|FILE	PROC:qut::dicord-py-0.1.tar.gz::proc::install	FILE:qut::dicord-py-0.1.tar.gz::bucket::TMP_DIR	contextual	File artifact is supporting context.	contextual	Coarse temp-directory bucket indicates file activity but lacks path detail.
qut	dicord-py-0.1.tar.gz	artifacts/qut_all/dicord-py-0.1.tar.gz.graph.pt	filtering_rarity	Filtering + rarity	1	4.3900863	PROC|WRITE|FILE	PROC:qut::dicord-py-0.1.tar.gz::proc::install	FILE:qut::dicord-py-0.1.tar.gz::bucket::ALL_FILES	contextual	File artifact is supporting context.	contextual	Coarse file bucket provides behavior context only.
qut	dicord-py-0.1.tar.gz	artifacts/qut_all/dicord-py-0.1.tar.gz.graph.pt	filtering_rarity	Filtering + rarity	2	4.3900863	PROC|READ|FILE	PROC:qut::dicord-py-0.1.tar.gz::proc::install	FILE:qut::dicord-py-0.1.tar.gz::bucket::ALL_FILES	contextual	File artifact is supporting context.	contextual	Coarse file bucket provides behavior context only.
